ID article dans kezzia,Type d'article pour nom,Marque d'article pour nom,BIO (oui/non),Nom d'article au Super Cafoutch,Code barre,Nom fournisseur,Nom article chez fournisseur,Référence fournisseur,Colisage en unité de mesure,Prix HT par unité de mesure,Catégorie interne,TVA,Contrôle TVA,Poids net (kilo),Volume (litre),Lien vers photo,Pays d'origine,Produit en mercuriale (oui/non)
3645,Limonade citron,,oui,Limonade citron ,3580283530021,Agidra,Limonade BIO bouteille 1L CT 6,353002,6,"1,23","Alimentaire / Liquide / Sirops, Sodas, Boissons aromatisées TVA 5,5%",A5.5-V5.5,ok,,1,https://www.agidra.com/images/vignettes/353002_XZ1.jpg,France,non
3656,Boisson au soja,,oui,Boisson au soja ,3580283511969,Agidra,Boisson végétale BIO soja Calcium brique 1l CT 8 BRIK,351196,8,"0,94",Alimentaire / Liquide / Jus de fruits,A5.5-V5.5,ok,,1,https://www.agidra.com/images/vignettes/351196_XZ1.jpg,France,non
3693,Pur jus d'orange,,oui,Pur jus d'orange ,3700490802463,Agidra,Pur jus d'orange BIO bouteille 1l CT 6,351238,6,"1,89",Alimentaire / Liquide / Jus de fruits,A5.5-V5.5,ok,,1,https://www.agidra.com/images/vignettes/351238_XZ1.jpg,,non
3695,Pur jus de carotte,,oui,Pur jus de carotte ,3580283512423,Agidra,Pur Jus de carotte BIO bouteille 75cl CT 6,351242,6,"1,13",Alimentaire / Liquide / Jus de fruits,A5.5-V5.5,ok,,"0,75",https://www.agidra.com/images/vignettes/351242_XZ1.jpg,,non
3635,Bière blanche La Divine,- SAINT-LANDELIN,non,Bière blanche La Divine - SAINT-LANDELIN,3261570005797,Agidra,Bière Saint Landelin FR Blanche bouteille 75cl CT 6,370015,6,"1,66","Alimentaire / Liquide / Bière, Cidre",A20.0-V20.0,ok,,"0,75",https://www.agidra.com/images/vignettes/370015_XZ1.jpg,France,non
3636,Bière blonde La Divine,- SAINT-LANDELIN,non,Bière blonde La Divine - SAINT-LANDELIN,3261570005780,Agidra,Bière Saint Landelin FR Blonde bouteille 75cl CT 6,370010,6,2,"Alimentaire / Liquide / Bière, Cidre",A20.0-V20.0,ok,,"0,75",https://www.agidra.com/images/vignettes/370010_XZ1.jpg,France,non
3637,Cidre fermier doux,- CHATEAU DE LEZERGUE,non,Cidre fermier doux - CHATEAU DE LEZERGUE,3760031901116,Agidra,Cidre fermier doux bouteille verre 75CL CT 6,360201,6,"2,19","Alimentaire / Liquide / Bière, Cidre",A20.0-V20.0,ok,,"0,75",https://www.agidra.com/images/vignettes/360201_XZ1.jpg,France,non
5557,Bière Ambrée La Divine,- SAINT-LANDELIN,non,Bière Ambrée La Divine - SAINT-LANDELIN,3261570006664,Agidra,Bière Saint Landelin FR Ambrée bouteille 75cl CT DE 6,370013,6,"2,01","Alimentaire / Liquide / Bière, Cidre",A20.0-V20.0,ok,,"0,75",https://www.agidra.com/images/vignettes/370013_Z1.jpg,France,non
3525,Thon au naturel Albacore,,non,Thon au naturel Albacore ,3580282390213,Agidra,Thon au naturel Albacore 1/4 conserve pne 140g CT 48 bte,239021,48,"0,95",Alimentaire / Épicerie / Conserves de poisson,A5.5-V5.5,ok,,"0,14",https://www.agidra.com/images/vignettes/239021_XZ1.jpg,,non
3541,Bretzels,- HUOBER,oui,Bretzels - HUOBER,4000381003030,Agidra,Bretzels original BIO paquet 175g CT 20 x 175g,321006,20,"0,75",Alimentaire / Épicerie / Apéritifs,A5.5-V5.5,ok,"0,175",,https://www.agidra.com/images/vignettes/321006_XZ1.jpg,,non
